姓名;职级;出生年;祖籍或出生地;毕业院校;任职地区;任职系统;简历;照片;英文名;rank;id2
熊伟;5;1962;;;;;1962年9月出生，原宜昌市委常委、市政协党组副书记、市委统战部部长;person0;cairongsheng;0;persons0
谭春玉;5;1955;;;;;1955年2月出生原湖北省宜昌市人大常委会副主任;person1;chenanzhong;0;persons1
刘文;5;;;;;;央视纪录频道原总监;person2;chenbaihuai;0;persons2
朱中华;5;1954;;;;;1954年5月出生，黄石市人大常委会党组书记;person3;chentiexin;0;persons3
李威;4;;;;;;原大连中院院长;person4;jiangshan;0;persons4
芮成钢;5;1977;安徽;外交学院;;;1977年生，央视财经频道主持人;person5;dushanxue;0;persons5
李勇;5;;;中国人民大学;;;CCTV-2财经频道副总监;person6;guoyouming;0;persons6
张田欣;3;1955;云南;昆明师范学院;;;1995年生，曾任云南省委常委、昆明市委书记;person7;hanxiancong;0;persons7
付毅;4;;;;四川;四川;1963年出生，成都市政协副主席，曾任成都市委、市政府副秘书长，成都市发改委主任;person8;jindaoming;0;persons8
杨刚;3;1953;新疆;新疆大学;;;1953年生，政协第十二届全国委员会经济委员会原副主任;person9;liaoshaohua;0;persons9
韩先聪;3;1955;安徽;安徽农学院;;;1955出生，安徽省政协副主席;person10;lingzhengce;0;persons10
谭力;3;1955;重庆;四川省高县师范学校;四川海南;四川海南;1955年出生，海南省委常委、副省长，海南国际旅游岛工委书记，曾任绵阳市委书记。;person11;zhuzuoli;0;persons11
万庆良;3;1964;广东;嘉应师范专科学校;广东;广东;1964年出生，广东省委常委，曾任广州市委书记、市长;person12;luoou;0;persons12
令政策;3;1952;山西;山西大学;山西;山西;1952年出生，山西省政协副主席，曾任山西省发改委主任。;person13;quanjunliang;0;persons13
阳宝华;3;1947;湖南;湖南省委党校;湖南;湖南;1947年出生，落马时已退休，曾任湖南省政协副主席、长沙、岳阳市委书记。;person14;shenpeiping;0;persons14
杜善学;3;1956;山西;山西财经大学;山西;山西;1956年出生，山西省委常委、副省长。;person15;surong;0;persons15
赵智勇;3;1955;河北;西南财经大学;江西;江西;1955年出生，原中共江西省委常委、省委秘书长。;person16;tanli;0;persons16
万庆良;3;1964;广东;华南理工大学;广东;广东;1964年出生，广州市原市委书记。;person17;tanxiwei;0;persons17
苏荣;1;1948;吉林;吉林大学;吉林青海甘肃江西;吉林青海甘肃江西;1948年出生，全国政协副主席，曾任江西省委书记。;person18;tongmingqian;0;persons18
徐才厚;1;1943;辽宁;哈尔滨军事工程学院;;;1943年出生，中央军委原副主席，十七届中央政治局委员。;person19;wangjunguo;0;persons19
王银旺;5;1959;山西;;山西;山西;1959年出生，山西阳泉市平定县委书记。;person20;wangsuyi;0;persons20
梁波;5;;;东南大学;;;国家能源局电力司原副司长。;person21;wangwenke;0;persons21
郑兴华;5;1959;湖北;湖北省委党校;湖北;湖北;1959年出生，宜昌市原副市长。;person22;wanqingliang;0;persons22
关守仲;5;;;东南大学;安徽;安徽;国网安徽电力副总。;person23;wuchangshun;0;persons23
施维雄;5;;福建;香港公开大学;福建;福建;福建省地税局副局长。;person24;xugefei;0;persons24
叶万勇;5;1953;湖北;;;;1953年，原四川省军区政委。;person25;yangbaohua;0;persons25
谭栖伟;3;1954;重庆;重庆市委党校;重庆;重庆;1954年出生，原重庆市人大常委会副主任、党组副书记。;person26;yaomugen;0;persons26
朱长林;4;1960;河南;同济大学;河南湖南四川 中央;河南湖南四川 中央;1960年出生，原国家电网华北分部主任、党委书记。;person27;zhangtianxin;0;persons27
魏健;4;;;;中央;中央;原中央纪委第四纪检监察室主任2014年5月被查。;person28;;0;persons28
刘庆成;4;1961;湖南;中国地质大学;北京四川江苏上海;北京四川江苏上海;1961年出生，东华理工大学校长。;person29;;0;persons29
罗欧;4;1956;广东;;广东;广东;1956年生，广东省政府副秘书长、省打私办主任。;person30;;0;persons30
徐曙明;4;;;;辽宁;辽宁;原辽宁省国有资产监督管理委员会副巡视员、省（中）直企业工会主席。;person31;;0;persons31
薄启亮;5;1962;;中国石油大学;;;1962年出生，中国石油天然气股份有限公司副总裁。;person32;;0;persons32
孙卫东;5;;;;;;甘肃玉门油田公司原副总经理。;person33;;0;persons33
靳瑞林;5;1957;山西;忻州地委党校;山西;山西;1957年出生，山西大同市原副市长。;person34;;0;persons34
张中生;5;1952;山西;中央党校;山西;山西;1952年出生，山西吕梁市原副市长。;person35;;0;persons35
胡铁辉;5;1951;湖南;湖南医科大学;湖南;湖南;1951年出生，原任中南大学党委常委、副校长。;person36;;0;persons36
王侃;5;1957;湖北;华中科技大学;湖北;湖北;1957年出生，原湖北省政府国有资产监督管理委员会副主任。;person37;;0;persons37
梁国英;5;1958;广东;中央党校;广东;广东;1958年出生，原中共东莞市委常委、常务副市长。;person38;;0;persons38
魏鹏远;5;;;;中央;中央;国家能源局煤炭司原副司长。;person39;;0;persons39
郭焕波;5;;;;云南;云南;原昆明市农业局党委书记、局长。;person40;;0;persons40
陈博;5;;;;云南;云南;原昆明市农业局副局长。;person41;;0;persons41
蔡勇;5;1971;;;重庆;重庆;1971年生，重庆市涪陵区委常委。;person42;;0;persons42
曹立新;5;;;;山西;山西;中纪委第六纪检监察室三处处长，分管山西。;person43;;0;persons43
谭建忠;5;1959;河南;河南省委党校;河南;河南;1959年生，河南省洛阳市委常委、秘书长。;person44;;0;persons44
任鹏举;5;1959;北京;首都师范大学;北京;北京;1959年生，北京市昌平区政协副主席。;person45;;0;persons45
许永盛;5;1966;山东;天津大学;;;1966年生，国家能源局原副局长、党组成员。;person46;;0;persons46
王骏;5;;;;;;国家能源局新能源和可再生能源司原司长。;person47;;0;persons47
王光荣;5;;;;浙江;浙江;杭州市人民政府原副秘书长。;person48;;0;persons48
赵洪兴;5;1956;吉林;;吉林;吉林;1956年出生，吉林省司法厅原副厅长。;person49;;0;persons49
李和平;5;;;;广东;广东;原广东省广业资产经营有限公司党委委员、副总经理。;person50;;0;persons50
陈志中;5;;;;广东;广东;原南方医科大学党委常委、副校长。;person51;;0;persons51
王帅廷;5;;;;香港;香港;原香港中旅有限公司总经理、党委副书记。;person52;;0;persons52
宋林;3;1963;山东;同济大学;;;1963年出生，华润（集团）有限公司董事长。;person53;;0;persons53
毛小兵;3;1965;湖南;北京科技大学;青海;青海;1965年出生，青海省委常委、西宁市委书记。;person54;;0;persons54
杨光成;4;1955;云南;昆明理工大学;云南;云南;1955年出生，原云南省交通运输厅党组书记、厅长。;person55;;0;persons55
赵亚平;4;1952;山东;;河南;河南;1952年出生，原河南省人大常委会常务委员、财经委副主任。;person56;;0;persons56
申维辰;2;1956;山西;山西大学;山西;山西;1956年出生，中国科协原党组书记、常务副主席。;person57;;0;persons57
郝卫平;5;;;;中央;中央;原国家能源局核电司司长。;person58;;0;persons58
郭忠实;5;1955;山西;山西财经大学;山西;山西;1955年出生，山西省直机关工委副书记。;person59;;0;persons59
杨晓波;5;1971;山西;南开大学;山西;山西;1971年出生，山西省高平市市长。;person60;;0;persons60
曾孔祥;5;1963;贵州;贵州省委党校;贵州;贵州;1963年出生，原贵州省黔西南州副州长。;person61;;0;persons61
王国群;5;1954;山东;清华大学;山东;山东;1954年出生，原山东省烟台市政府特邀咨询，曾任副市长。;person62;;0;persons62
柯志敏;5;1957;福建;集美财经;福建;福建;1957年出生，原福建省厦门市经济发展局局长、党组书记。;person63;;0;persons63
王君;5;1957;;中共绥化地委党校;黑龙江;黑龙江;1957年出生，原黑龙江省绥化市政协副主席。;person64;;0;persons64
苏利明;5;1968;四川;西华师范大学;四川;四川;1968年出生，原四川省广元市委常委、市人民政府副市长。;person65;;0;persons65
孔兆平;5;1960;安徽;北方交通大学;上海安徽;上海安徽;1960年出生，原上海铁路局副局长。;person66;;0;persons66
沈培平;3;1962;云南;保山师范专科学校;云南;云南;1962年出生，原云南省副省长。;person67;;0;persons67
金道铭;3;1953;北京;北京市东城区职工业余大学;中央山西;中央山西;1953年出生，原山西省人大常委会副主任。;person68;;0;persons68
姚木根;3;1957;江西;江西财经大学;江西;江西;1957年出生，原江西省副省长。;person69;;0;persons69
孔垂柱;3;1953;云南;云南省党校;云南;云南;1953年出生，原云南省副省长。;person70;;0;persons70
何华章;4;1964;四川;北京师范大学;四川;四川;1964年出生，原四川省遂宁市市长。;person71;;0;persons71
胡学凡;4;1955;安徽;五七大学;安徽;安徽;1955年出生，原安徽省旅游局局长。;person72;;0;persons72
吴周春;4;1951;广东;华南理工大学;江苏广东;江苏广东;1951年出生，原中国南方电网有限公司总经理助理、南网国际有限公司董事长。;person73;;0;persons73
谢克敏;5;1962;山西;;山西;山西;1962年出生，山西省监察厅原副厅长。;person74;;0;persons74
苏浩;5;1959;山西;中国社会科学院;山西;山西;1959年出生，山西省司法厅原副厅长、原太原市公安局局长;person75;;0;persons75
高世宝;5;1956;山西;;山西;山西;1956年出生，山西朔州市经济开发区管委会主任。;person76;;0;persons76
张波;5;1961;山西;;山西;山西;1961年出生，山西太原市民营经济开发区管委会主任。;person77;;0;persons77
孔祥鹏;5;1953;广西;中央党校;广西;广西;1953年出生，原广西省梧州市人大副主任。;person78;;0;persons78
孟金根;5;;;;上海;上海;原上海铁路局副总工程师兼上海动车客车段段长、党委副书记。;person79;;0;persons79
邵禹斌;5;1975;;;甘肃;甘肃;1975年出生，原甘肃省国有资产投资集团有限公司总经理助理、投资部部长，甘肃信托副董事长。;person80;;0;persons80
时小雨;5;1954;江苏;福建林学院;福建;福建;1953年生，福州市原副市长。;person81;;0;persons81
闫征;5;;;;陕西;陕西;陕西省能源局原副局长。;person82;;0;persons82
冀文林;3;1966;内蒙古;中国地质大学;四川中央海南;四川中央海南;1966年出生，原海南省副省长。;person83;;0;persons83
祝作利;3;1955;河南;西北大学;陕西;陕西;1955年出生，原山西省政协副主席。;person84;;0;persons84
沈定成;4;;;西南石油大学;;;原中国联合石油有限公司党委书记、副总经理。;person85;;0;persons85
幸敬华;4;1966;湖北;湖北省委党校;湖北;湖北;1966年出生，原湖北省荆州市委常委、委员职务。;person86;;0;persons86
刘沐珍;4;1958;湖北;华中农业大学咸宁分院;湖北;湖北;1958年出生，原湖北鄂州市政协党组书记、主席。;person87;;0;persons87
张翔;4;;;;河南;河南;原河南物资集团董事长。;person88;;0;persons88
高忠宝;4;;;;云南;云南;原中石化云南分公司总经理。;person89;;0;persons89
丁雪峰;5;1963;山西;山西大学;山西;山西;1963年出生，山西吕梁市市长。;person90;;0;persons90
任云峰;5;1956;山西;;山西;山西;1956年出生，山西省政府机关事务管理局局长。;person91;;0;persons91
安俊生;5;1953;山西;南开大学;山西;山西;1953年出生，山西省地质勘查局原局长。;person92;;0;persons92
胡彪;5;;山西;;山西;山西;山西朔州市水利局原局长。;person93;;0;persons93
张东阳;5;1964;辽宁;沈阳市警察学校;辽宁;辽宁;1964年出生，原沈阳市人民检察院检察长。;person94;;0;persons94
严小康;5;1963;江西;韶关师范专科学校;广东;广东;1963年出生，原广东东莞市副市长、市公安局局长。;person95;;0;persons95
王可炜;5;1963;广东;第一军医大学;广东;广东;1963年出生，原广东省科技厅副厅长。;person96;;0;persons96
吴连奇;5;1964;四川;广元师范学校;四川;四川;1964年出生，原速传广元市副市长。;person97;;0;persons97
罗长刚;4;1954;河南;;湖北;湖北;1954年出生，原武汉经济技术开发区管委会主任、工委书记。;person98;;0;persons98
杨跃国;4;1961;云南;云南省农业学校;云南;云南;1961年出生，原云南省德宏州政协主席。;person99;;0;persons99
刘学库;4;1953;河北;廊坊财贸学校;河北;河北;1953年出生，原河北省财政经济委员会副主任委员、省发改委主任。;person100;;0;persons100
黎平;4;1956;贵州;贵州省工学院;贵州;贵州;1956年出生，原贵州省水利厅厅长、党组书记。;person101;;0;persons101
刘亚;5;1962;安徽;中央党校;安徽;安徽;1962年出生，原蚌埠市人民政府副市长。;person102;;0;persons102
郑兴华;5;1959;湖北;武汉化工学院;湖北;湖北;1959年出生，原湖北省宜昌市政府副市长。;person103;;0;persons103
梁树林;5;;河北;;河北;河北;原河北省人大法制委员会副主任委员。;person104;;0;persons104
范绍慧;5;1952;河北;河北大学;河北;河北;1952年出生，原唐山市人大常委会主任。;person105;;0;persons105
王世坤;5;;;;中央;中央;海南省海洋与渔业监察总队;person106;;0;persons106
陈瑞喜;5;1962;福建;福建农学院;福建;福建;1962年出生，原福建省三明市副市长。;person107;;0;persons107
宋国安;5;1964;安徽;塔里木农垦大学;新疆;新疆;1964年出生，原新疆生产建设兵团第五师党委常委、副师长。;person108;;0;persons108
冯焰;5;1957;河南;中央党校;新疆;新疆;1957年出生，原新疆生产建设兵团第十三师党委常委、副师长。;person109;;0;persons109
周耀;5;1958;安徽;安徽农学院皖北分院;安徽;安徽;1958年出生，原安徽省六安经济技术开发区管理委员会主任。;person110;;0;persons110
秦国刚;5;1957;陕西;中央党校;陕西;陕西;1957年出生，原陕西省委党校副校长。;person111;;0;persons111
郭建华;5;1958;河南;;河南;河南;1958年出生，原河南省安阳市副市长。;person112;;0;persons112
邓琳;5;;河南;;河南;河南;原河南省新乡市政协副主席。;person113;;0;persons113
鲁力军;5;1956;湖北;中南财经大学;湖北;湖北;1956年出生，原湖北省国资委副主任。;person114;;0;persons114
胡传道;5;1959;安徽;安徽大学;安徽;安徽;1959年出生，原安徽广电传媒产业集团副总经理、党委委员。;person115;;0;persons115
郭大焕;5;1961;;;中央;中央;1961年出生，原任中铁隧道集团有限公司董事长、党委书记。;person116;;0;persons116
张继奎;5;1959;甘肃;兰州铁道学院;中央;中央;1959年出生，原中隧集团有限公司总经理、副董事长。;person117;;0;persons117
王应福;4;1966;海南;海南省委党校;海南;海南;1966年出生，原海南省安全生产监督管理局局长、党组书记。;person118;;0;persons118
段建国;4;1956;山西;山西大学;山西;山西;1956年生，山西省交通厅原厅长。;person119;;0;persons119
蒋洁敏;2;1955;山东;山东大学;青海中央;青海中央;1955年出生，原国务院国资委主任，中国石油天然气集团公司总经理、党组书记，中国石油天然气股份有限公司董事长。;person120;;0;persons120
张光亮;5;1962;海南;;海南;海南;1962年出生，原海南省海洋与渔业监察总队总队长。;person121;;0;persons121
王永春;3;1960;吉林;长春地质学院;中央;中央;1960年出生，曾任第十八届中央候补委员，原中国石油天然气集团公司副总经理。;person122;;0;persons122
李华林;4;1962;湖北;西南石油大学;;;1962年出生，原中国石油天然气集团公司副总经理。;person123;;0;persons123
冉新权;4;1965;四川;西南石油大学;;;1965年出生，原中国石油天然气股份有限公司副总裁。;person124;;0;persons124
王道富;4;1955;四川;西南石油大学;;;1955年出生，原中国石油天然气股份有限公司总地质师。;person125;;0;persons125
裴唐生;5;;山西;;山西;山西;原山西省财政厅监督检查局副局长。;person126;;0;persons126
陈良纲;4;1962;安徽;安徽大学;安徽;安徽;1962年出生，原安徽省国土资源厅副厅长、淮北市委副书记。;person127;;0;persons127
骆炳峰;4;1957;江西;中央党校;江西;江西;1957年出生，原赣州市人大常委会主任、党组书记。;person128;;0;persons128
谢阳当;4;1965;湖南;中央党校;湖南;湖南;1965年出生，原常宁市人民政府副市长。;person129;;0;persons129
杨林;4;1954;甘肃;西北师范大学;甘肃;甘肃;1954年出生，原酒泉市政协主席。;person130;;0;persons130
吕凯明;5;1957;山东;;福建;福建;1957年出生，原三明市政协副主席、三明市第二医院院长。;person131;;0;persons131
骆国清;5;1952;福建;空军雷达学院;福建;福建;1952年出生，原福建省泉州市人大常委会副主任。;person132;;0;persons132
孙家群;5;1960;江西;中央党校;江西;江西;1960年出生，原萍乡市副市长。;person133;;0;persons133
湛岳登;5;1955;广东;佛山兽医专科学校;广东;广东;1955年出生，原湛江市人大常委会副主任。;person134;;0;persons134
徐龙;4;1957;浙江;浙江大学;浙江香港广东;浙江香港广东;1957年出生，原广东移动董事长、总经理。;person135;;0;persons135
李达球;3;1953;广西;中央党校;广西;广西;1953年出生，原广西政协副主席。;person136;;0;persons136
李兴华;4;1958;广东;西安交通大学;广东;广东;1958年出生，原广东省科学技术厅厅长。;person137;;0;persons137
祝义方;5;1955;河南;;河南;河南;1955年出生，原平顶山市政协党组副书记、新城区党工委书记。;person138;;0;persons138
江捍平;5;1957;广东;南华大学;广东;广东;1957年出生，深圳市卫生局党组书记、局长，中共深圳市委卫生工委书记，深圳市卫生和人口计划生育委员会党组书记、主任。;person139;;0;persons139
王术君;5;1970;山东;哈尔滨船舶工程学院;中央贵州;中央贵州;1970年出生，原贵州省安顺市市长。;person140;;0;persons140
申会;5;1953;山西;;山西;山西;1953年出生，原晋城市政协党组副书记、 副主席 。;person141;;0;persons141
武志忠;5;1951;内蒙古;;内蒙古;内蒙古;1951年出生，原内蒙古自治区政府副秘书长。;person142;;0;persons142
孙炼;5;;;;广东;广东;原广东移动计划规划部总经理。;person143;;0;persons143
雷毅;5;1962;云南;;云南;云南;1962年出生，原云南锡业集团有限责任公司党委书记、董事长。;person144;;0;persons144
武予鲁;5;1955;山西;焦作矿业学院;河南;河南;1955年出生，原义马煤业集团股份有限公司董事长、党委书记。;person145;;0;persons145
倪发科;3;1954;江苏;中央党校;安徽;安徽;1954年出生，原安徽省副省长。;person146;;0;persons146
王素毅;3;1961;内蒙古;山西矿业学院;内蒙古;内蒙古;1961年出生，原内蒙古统战部长。;person147;;0;persons147
郭永祥;3;1949;山东;中央党校;山东四川;山东四川;1949年出生，原四川省委常委、秘书长、办公厅主任。;person148;;0;persons148
许润龙;5;1965;江西;同济大学;江西;江西;1965年出生，原江西省交通运输厅党委委员、副厅长。;person149;;0;persons149
和新民;5;;云南;怒江医疗中专;云南;云南;原云南省怒江僳僳族州人民政府副州长。;person150;;0;persons150
雷政富;4;1958;重庆;中央党校;四川重庆;四川重庆;1958年出生，原重庆市北碚区区委书记。;person151;;0;persons151
洪金洲;4;1963;贵州;贵州省供销学校;贵州;贵州;1963年出生，原贵州省黔东南州副州长、党组成，凯里市委副书记、市长。;person152;;0;persons152
郭振玺;5;1965;山东;山东大学;;;1965年出生，曾分别主管央视广告部门和财经频道（央视二套）长达八年多时间。;person153;;0;persons153
